0,1,2
,5243.0501,Field Sales Executive (FSE)
,5243.0502,Sales Executive (Broadband)
,5243.9900,"Door-to-Door and Telephone Sales Persons,"
,,Other
Family,5244,Contact Centre Salespersons
,5244.0100,"Operator, Call Centre"
,5244.0101,CRM Domestic Voice
,5244.0102,Associate – CRM
,5244.0103,Customer Relation Executive
,5244.0201,CRM Domestic Non-Voice
,5244.0202,Associate Customer Care (Non-Voice)
,5244.0203,Collections Executive
,5244.0301,Customer Care Executive
,5244.0302,Remote Helpdesk Technician
,5244.0303,Customer Care Executive (Call Centre)
Family,5245,Service Station Attendants
,5245.0101,Petrol Pump Salesman/Fuel
,,Serviceman/Fuel Dispensing Attendant
Family,5246,Food Service Counter Attendants
,,NCO 2015
Family,5249,Sales Workers Not Elsewhere Classified
,5249.0101,Key Account Service Manager
,5249.0200,"Salesman, Wholesale Trade"
,5249.0201,Commercial Manager (Zonal/Regional)
,5249.0202,Commercial Executive/Officer
,5249.0301,"Salesman, Retail Trade"
,5249.0400  Wholesale Dealer,
,5249.0500,Retail Dealer
,5249.0600,Selling Agent
,5249.0700,Stockist
Sub-,53,Personal Care Workers
Division,,
Group,531,Child Care Workers and Teachers' Aides
Family,5311,Child Care Workers
,5311.0100,"Ayah, Institutional"
,5311.0200,Child Care Worker
,5311.0300,Governess
,5311.0400,"Ayah, Domestic"
,5311.9900,"Child Care Workers, Other"
Family,5312,Teachers' Aides
Group,532,Personal Care Workers in Health Services
Family,5321,Healthcare Assistants
,,NCO 2015
Family,5322,Home-Based Personal Care Workers
,5322.0101,Home Health Aide
,5322.9900,"Home-Based Personal Care Workers, Other"
Family,5329,Personal Care Workers in Health Services
,,Not Elsewhere Classified
,5329.0101,General Duty Assistant
Sub-,54,Protective Service Workers
Division,,
Group,541,Protective Service Workers
Family,5411,Fire Fighters
,5411.0100,Fire Fighter
,5411.9900,"Fire Fighters, Other"
Family,5412,Police Officers
,5412.0100,Police Constable
,5412.0200,"Sepoy, Customs"
,5412.0300,"Constable, Excise"
,5412.9900,"Police Officers, Other"
Family,5413,Prison Guards
,"5413.0100  Warder, Jail",
,5413.9900,"Prison Guards, Other"
Family,5414,Security Guards
,5414.0101,Security Officer
,5414.0102,Assignment Manager
,NCO 2015,
,"5414.0111 
Security Supervisor",
,"5414.0121 
CCTV Supervisor",
,"5414.0151 
Armed Security Guard",
,"5414.0171 
Personal Security Officer",
,"5414.0200 
Home Guard",5169.20
,5414.0400  Watchman,9152.20
,"5414.0501 
Gateman/Unarmed Security Guard",9152.30
Family,"5419 
Protective Services Workers Not Elsewhere",
,Classified,
,,NCO 2015
Division,6,"Skilled Agricultural, Forestry and Fishery"
,,Workers
Sub-,61,Market-Oriented Skilled Agricultural
Division,,Workers
Group,611,Market Gardeners & Crop Growers
Family,6111,Field Crop and Vegetable Growers
,6111.0100,"Cultivator, General"
,6111.0101,Paddy Farmer
,6111.0200,"Cultivator, Crop"
,6111.0201  Wheat Cultivator,
,6111.0301  Maize Cultivator,
,6111.0401,Pulses Cultivator
,6111.0501,Soybean Cultivator
,6111.0601,Cotton Cultivator
,6111.0701,Sugarcane Cultivator
,6111.0800,"Cultivator, Fruit"
,6111.0851,Coconut Grower
,6111.0852,Friends of Coconut Tree
,6111.0901,Banana Farmer
,6111.1001  Mango Grower,
,6111.1101,Citrus Fruit Grower
,6111.1200,Viniculturist
,6111.1300,"Cultivator, Vegetables"
,,NCO 2015
,6111.1401,Bulb Crop Cultivator
,6111.1501,Solanaceous Crop Cultivator
,6111.1601,Tuber Crop Cultivator
,6111.1801,Chillies Cultivator
,6111.1901,Coriander Cultivator
,6111.2000,"Fieldman, Agriculture"
,6111.9900,"Field Crop and Vegetable Growers, Other"
Family,6112,Tree and Shrub Crop Growers
,6112.0100,"Pruner, Tea Gardens"
,6112.0200,"Tapper, Palm Juice"
,6112.0201,Neera Technician
,6112.0300,"Tapper, Rubber"
,6112.0400,Budder
,6112.0501,Tea Plantation Worker
,6112.0601,Coffee Plantation Worker
,6112.0701,Bamboo Grower
,6112.0801,Rubber Nursery Worker – Budder
,6112.0802,Rubber Nursery Worker – General
,6112.9900,"Tree and Shrub Crop Growers, Other"
Family,6113,"Gardeners, Horticultural and Nursery"
,,Growers
,6113.0100,Planter
,,NCO 2015
,6113.0200,Nurseryman
,6113.0301,"Gardener, General"
,6113.0400,Groundsman
,6113.0501,Greenhouse Fitter
,6113.0601,Floriculturist – (Open Cultivation)
,6113.0602,Floriculturist – (Protected Cultivation)
,6113.9900,"Nursery Workers and Gardeners, Other"
Family,6114,Mixed Crop Growers
,"6114.9900  Mixed Crop Growers, Other",
Family,6115,Medicinal and Aromatic Plant Cultivators
Family,6116,Agriculture Information Management
,6116.0101,Agriculture Extension Executive
,6116.0102,Agriculture Extension Service Provider
,6116.0112,Community Service Provider
Group,612,Animal Producers
Family,6121,Livestock and Dairy Producers
,6121.0100,"Farmer, Livestock"
,6121.0201,"Farmer, Dairy/Dairy Farmer/Entrepreneur"
,6121.0300,"Livestock Worker, General"
,6121.0400,Herdsman
,6121.0500,Livestock Workers/Other Livestock Workers
,6121.0601,"Dairy Farm Worker, General/Dairy Worker"
,,NCO 2015
,6121.0700  Milker,
,"6121.0800  Milker, Machine",
,6121.1000,Stableman
,6121.1100,Elephant Keeper
,6121.1200,"Shearer, Sheep"
,6121.1300,"Shearer, Animal, Other/Shearer, Other"
,,Animals
,6121.1400,Grass Cutter
,6121.9900,"Dairy and Livestock Producers, Other"
Family,6122,Poultry Producers
,6122.0101,"Farmer, Poultry/Broiler Farm Supervisor"
,6122.0200,"Farmer, Poultry Breeding"
,6122.0301,"Poultry Farm Worker, General/Broiler Farm"
,,Worker
,6122.0401,Hatchery Operator/Hatchery In-Charge
,6122.9900,"Poultry Farm Workers, Other"
Family,6123,Apiarists and Sericulturists
,6123.0101,Beekeeper
,6123.0201,"Rearer, Silkworm/ Sericulturist"
,6123.9900,"Apiarists and Sericulturists, Other"
Family,6129,Animal Producers Not Elsewhere Classified
,6129.0100,"Farmer, Fur-Bearing Animals"
,6129.0200  Mixed Animal Producers,
,,NCO 2015
,6129.9900,"Animal Producers and Related Workers,"
,,Other
Group,613,Mixed Crop and Animal Workers
Family,6130,Mixed Crop and Animal Workers
,6130.0100,Artificial Breeding Technician
,6130.0201,Seed Grower/Quality Seed Grower
,6130.0202,Seed Processing Worker
,,"6130.9900  Mixed Crop and Animal Workers, Other"
Sub-,62,"Market-Oriented Skilled Forestry, Fishery"
Division,,and Hunting Workers
Group,621,Forestry and Related Workers
Family,6210,Forestry and Related Workers
,6210.0100,Forester
,6210.0200,Forest Guard
,6210.0300,Forest Fire Watcher
,6210.0400,Foresters and Related Workers
,6210.0500,Gatherer Lac
,6210.0600,"Gatherer, Medicinal Herbs"
,6210.0700,"Gatherer, Firewood"
,6210.0800,Cane Cutter
,6210.0900,Thatch Cutter
,6210.1000,Log Feller
,6210.1100  Wood Cutter,
,,NCO 2015
,"6210.1200  Marker, Log",
,6210.1300,Sandalwood Extractor
,6210.1400,"Estimator, Timber"
,6210.1500,"Sorter, Timber"
,6210.1600,Log Driver
,6210.1700,"Charcoal Burner, Wood"
,6210.1800,"Digester Operator, Wood"
,6210.1900,"Distiller, Turpentine and Eucalyptus"
,6210.2000,Lac Treater
,6210.9900,"Forestry and Related Workers, Other"
Group,622,"Fishery Workers, Hunters and Trappers"
Family,6221,Aquaculture Workers
,6221.0101,Shrimp Farmer
,6221.0102,Hatchery Production Worker
Family,6222,Inland and Coastal Waters Fishery Workers
,6222.0100,"Fisherman, Inland Water"
,6222.0200,"Fisherman, Estuaries, Coastal and"
,,Backwater
,6222.9900,"Inland and Coastal Water Fishery Workers,"
,,Other
Family,6223,Deep Sea Fishery Workers
,6223.0101,"Fisherman, Deep Sea/Marine Capture"
,,Fisherman
,,NCO 2015
,6223.9900,"Deep Sea Fishery Workers, Other"
Family,6224,Hunters and Trappers
,6224.0300,Trapper
,6224.0400,Tracker
,6224.0500,Fish Overseer
,6224.0600,Fisheries Inspector
,6224.0700,"Fieldman, Fish"
,6224.0800,Yard Officer
,6224.0900,Fish Hatcher
,6224.1000,Fish Curer
,6224.1100,Fish Meal Maker
,6224.1200,Rock Pilot
,6224.1300  Man Duck,
,6224.1400,Net Maker
,6224.9900,"Hunters and Trappers, Other"
Sub-,63,"Subsistence Farmers, Fishers, Hunters and"
Division,,Gatherers
Group,631,Subsistence Crop Farmers
Family,6310,Subsistence Crop Farmers
,6310.0100,Tree Trimmer and Pruner
,6310.9900,"Subsistence Crop Farmers, Others"
Group,632,Subsistence Livestock Farmers
,,NCO 2015
Family,6320,Subsistence Livestock Farmers
Group,633,Subsistence Mixed Crop and Livestock
,,Farmers
Family,6330,Subsistence Mixed Crop and Livestock
,,Farmers
Group,634,"Subsistence Fishers, Hunters, Trappers and"
,,Gatherers
Family,6340,"Subsistence Fishers, Hunters, Trappers and"
,,Gatherers
,,NCO 2015
Division,7,Craft and Related Trades Workers
Sub-,71,Building and Related Trade Workers
Division,,(Excluding Electricians)
Group,711,Building Frames and Related Trades
,,Workers
Family,7111,House Builders
,7111.0100,Hut Maker
,7111.0200,Thatcher
,7111.9900,"Builders, Traditional Materials, Other"
Family,7112,Bricklayers and Related Workers
,7112.0100,Stone Mason
,7112.0200,"Bricklayerer, Construction"
,7112.0201,Plumbing Mason
,7112.0300,"Bricklayer, Refractory"
,7112.0400,Paviour
,7112.0500,Tar Supervisor
,7112.0601,Assistant Mason
,7112.9900,"Bricklayerers, Other"
Family,7113,"Stonemasons, Stone Cutters, Splitters and"
,,Carvers
,7113.0200,"Stone Cutter, Hand"
,7113.0300,"Stone Dresser, Hand"
,7113.0400,Stone Carver
,,NCO 2015
,7113.0500,"Stone Polisher, Hand"
,7113.9900,"Stone Splitters, Cutters and Carvers, Other"
Family,7114,"Concrete Placers, Concrete Finishers and"
,,Related Workers
,7114.0100,Concrete Moulder
,7114.0200,Cement Finisher
,7114.9900,"Concrete Placers, Concrete Finishers and"
,,"Related Workers, Other"
Family,7115,Carpenters and Joiners
,7115.0100,"Carpenter, General"
,7115.0200,"Carpenter, Construction"
,7115.0201,Assistant Shuttering Carpenter
,7115.0300,"Carpenter, Structural"
,7115.0400,"Carpenter, Village"
,7115.0500,"Joiner, Wood"
,7115.0600,"Loftsman, Ship Building"
,7115.0700,Shipwright
,7115.0800,"Lascar Stager, Ship Building"
,7115.1100,"Carpenter Worker, Boat Building"
,7115.1200,"Carpenter, Boat Building"
,7115.1300,"Caulker, Boat Building"
,7115.9900,"Carpenters and Joiners Operatives, Other"
Family,7119,Building Frame and Related Traders
,,NCO 2015
,,Workers Not Elsewhere Classified
,7119.0100  Well Digger,
,7119.0200  White Washer,
,7119.0301,Assistant Scaffolder
,7119.9900,Building Frame and Related Trades
,,"Workers, Other"
Group,712,Building Finishers and Related Trades
,,Workers
Family,7121,Roofers
,7121.0100,"Tile Layer, Roof"
,7121.9900,"Roofers, Other"
Family,7122,Floor Layers and Tile Setters
,7122.0100,Tile Setter
,7122.0200,Concrete Mixer (Mosaic Tile)
,7122.0300,Tile Presser (Mosaic)
,7122.0400,Planer (Mosaic Tile)
,7122.0500  Mosaic Layer,
,7122.0600,Parquetry Floor Layer
,7122.9900,"Floor Layers and Tile Setters, Other"
Family,7123,Plasterers
,7123.0100,Plasterer
,7123.9900,"Plasterers, Other"
Family,7124,Insulation Workers
,,NCO 2015
,7124.0100,"Building Insulator, Hand"
,7124.0200,Acoustical Insulator
,7124.0300,"Insulator, Boilers and Pipes"
,7124.0400,"Insulator, Refrigeration and Air-"
,,Conditioning Equipment
,7124.9900,"Insulation Workers, Other"
Family,7125,Glaziers
,7125.0100,Glazier (Construction)
,7125.0200,"Glazier, Vehicle"
,7125.0300,Picture Framer
,7125.9900,"Glaziers, Other"
Family,7126,Plumbers and Pipe Fitters
,7126.0101,"Plumber, General"
,7126.0102,"Plumber, Operations"
,7126.0103,"Plumber, General – Installation and Repair"
,7126.0104,"Plumber, General Helper"
,7126.0105,"Plumber, General Assistant"
,7126.0106,"Plumber, Maintenance and Servicing"
,,Assistant
,7126.0107,"Plumber, Maintenance and Servicing"
,7126.0201,Pipe Layer/Plumber Pipeline
,7126.0301,Pipe Fitter
,7126.0400,Straightening Machine Operator (Iron &
National Classification of Occupations – 2015,,
,,NCO 2015
,,Steel)
,7126.0500,"Puncher, Metal"
,7126.0600,Pneumatic Chipper
,7126.9900,"Plumbers and Pipe Fitters, Other"
Family,7127,Air-Conditioning and Refrigeration
,,Mechanics
,"7127.0100  Mechanic, Refrigeration and Air-",
,,Conditioning
Group,713,"Painters, Builders, Structure Cleaners and"
,,Related Trades Workers
Family,7131,Painters and Related Workers
,7131.0100,"Painter, Building"
,7131.0101,Assistant Painter and Decorator
,7131.0200,"Painter, Steel Structure"
,7131.0300,"Painter, Industrial"
,7131.0500,Paper Hanger/Wallpaper Fixer/Decorator
,7131.9900,"Painters and Related Workers, Other"
Family,7132,Spray Painters and Varnishers
,7132.0100,"Painter, General"
,7132.0201,"Painter, Spray/Painting Technician (Spray"
,,Painting)
,7132.0202,Auto Spray Painter/Painter
,7132.0203,Auto Body Painting Technician – Surface
,,Treatment
,,NCO 2015
,7132.0204,Automotive Body Painting Technician
,7132.0205,Auto Spray Painter Assistant/Painter
,7132.0300  Metal Sprayer,
,7132.0400,"Painter, Sign and Letter"
,7132.0500,"Painter, Brush"
,7132.0600,"Painter, Wood Work and Furniture"
,7132.0700,"Painter, Glass"
,7132.0900,"Painter, Mate"
,7132.0901,Automotive Paint Shop Assistant
,7132.9900,"Varnishers and Related Workers, Other"
Family,7133,Building Structure Cleaners
Sub-,72,"Metal, Machinery and Related Trades"
Division,,Workers
Group,721,"Sheet and Structural Metal Workers,"
,,"Moulders and Welders, and Related"
,NCO 2015,
,"7211.0400 
Rammer, Vertical Pipe Moulding",7211.40
,"7211.0500 
Core Maker, Moulding (Hand)",7211.50
,"7211.0600 
Core Maker, Vertical Pipe",7211.60
,"7211.9900  Metal Moulders and Core Makers, Other",7211.90
Family,"7212 
Welders and Flame Cutters",
,"7212.0100  Welder, Gas",7212.10
,"7212.0101 
Plumber (Welder)/Plumbing (Sanitary",
,Fixtures) Fitter Assistant,
,"7212.0102 
Plumber (Welder) Assistant",
,"7212.0105 
Tungsten Inert Gas Welder",
,"7212.0111 
Repair Welder",
,"7212.0200  Welder, Electric",7212.20
,"7212.0300  Welder, Machine",7212.30
,7212.0301  Welder,
,7212.0302  Welding Technician,
,"7212.0303 
Gas Metal Arc Welder/Metal Inert",
,Gas/Metal Active Gas/Gas Metal Arc,
,,NCO 2015
,"7212.0700  Welder, Resistance",
,7212.0801  Welding Assistant,
,"7212.9900  Welders and Flame Cutters, Other",
Family,7213,Sheet Metal Workers
,7213.0101,"Sheet Metal Worker, General/Sheet Metal"
,,Worker – Hand Tools and Manually
,,Operated Machines
,7213.0200,"Sheet Metal Worker, Structural"
,7213.0201,Auto Engine Repair Technician
,7213.0301,Dent Remover/Auto Body Repair
,,Technician/ Denter
,7213.0302,Auto Body Technician/Denter
,7213.0400,Tinsmith/Whitesmith
,7213.0500,Tin Coater
,,NCO 2015
,7214.0900,Riveter
,7214.1000,Riveter (Railroad Equipment)
,7214.1101,Assistant Bar Bender and Fixer
,7214.9900,"Structural Metal Prepares and Erectors,"
,,Other
Family,7215,Riggers and Cable Splicers
,7215.0100,Rigger
,7215.0101,Rigger: Rigging of Heavy Material
,7215.0200,Slinger
,7215.0300,Splicer (Rope and Cables)
,7215.9900,"Riggers and Cable Splicers, Other"
Group,722,"Blacksmiths, Tool Makers and Related"
,,Trades Workers
Family,7221,"Blacksmiths, Hammersmith and Forging"
,,Press Workers
,7221.0100,Blacksmith
,7221.0200,Village Blacksmith
,7221.0300,Power Hammer Operator
,7221.0301,Forging Operator
,7221.0400,Hammer Man
,7221.0500,Stamper/Forging Operator
,7221.0600,Farrier
,,7221.0700  Wire Drawer/Wire Drawing Machine
,,Operator
,NCO 2015,
,7221.0800  Metal Spinner/Metal spinning Machine,7221.80
,Operator,
,"7221.9900 
Blacksmiths, Hammersmith and Forging",7221.90
,"Press Workers, Other",
,"7222 
 
Tool Makers and Related Workers",
Family,"7222.0100  Marker, Metal",7222.10
,"7222.0200 
Tool Maker",7222.20
,"7222.0300 
Jig and Fixture Marker",7222.30
,"7222.0400 
Jig Borer",7222.40
,"7222.0500 
Die Maker",7222.50
,"7222.0600 
Die Sinker, Hand",7222.60
,"7222.0700 
Locksmith",7222.70
,"7222.0800 
Pattern Marker, Metal Foundry",7222.80
,"7222.0900 
Armourer",7222.85
,"7222.9900 
Tool Makers and Related Workers, Other",7222.90
Family,"7223 
Metal Working Machine Tool Setters and",
,Operators,
,"7223.0100 
Tool Setter, General",7223.10
,"7223.0200 
Tool Setter, Press",7223.20
,"7223.0300 
Setter, Drop Forging Machine",7223.30
,"7223.0400 
Setter, Automatic Machine",7223.40
,"7223.0401 
Assembly Line Machine Setter",
,"7223.0500  Mechanist, General/Machinist",8211.10
,NCO 2015,
,7223.0501  Machine Shop Master Technician/Setter,
,7223.0502  Machine Shop Supervisor,
7223.0601,Turner/Conventional Turning,8211.15
7223.0700,Turret and Capstan Lathe Operator,8211.20
7223.0701,Lathe Machinist,
7223.0800,Shaper,8211.22
7223.0900,Planer,8211.24
7223.1000,"Planer, Edge",8211.26
7223.1100,Slotter,8211.28
,7223.1201  Miller/Operator – Conventional Milling,8211.30
7223.1300,Gear Cutter,8211.32
7223.1400,Heavy Duty End Mill Operator,8211.34
7223.1500,"Driller Metal, General",8211.36
7223.1600,Radial Driller,8211.38
7223.1701,Borer/Operator Boring Machine Operator,8211.40
7223.1800,Cylinder Borer,8211.42
7223.1900,Rifling Machine Operator,8211.44
7223.2000,Bending Machine Operator,8211.46
7223.2100,Glazer,8211.50
7223.2200,"Grinder, Tool and Cutter",8211.55
7223.2300,"Power Press Operator, Metal",8211.60
7223.2400,Sheet Metal Machine Operator,8211.61
,NCO 2015,
,"7223.2500 
Ball Filling Machine Operator",8211.62
,"7223.2600 
Ball Lapping Machine Operator",8211.64
,"7223.2700 
Dividing Machine Operator",8211.66
,"7223.2800 
Die Copying Machine Operator/Die Sinking",8211.70
,Electric Discharge Machine Operator,
,"7223.2900 
Profiling Machine Operator",8211.75
,7223.3000  Metal Stamper,8211.80
,7223.5001  Machining Technician/CNC Operator,
,"7223.5002 
CNC Operator – Machining Technician",
,"7223.5003 
CNC Operator – Machinist",
,"7223.5004 
CNC Operator - Vertical Machining Centre",
,"7223.5005 
CNC Setter-cum-Operator – Vertical",
,Machining Centre,
,"7223.6001 
CNC Setter-cum-Operator – Turning",
,"7223.6002 
CNC Operator – Turning",
,"7223.6003 
CNC Programmer",
,7223.9900  Metal Working Machine Tool Setters and,8211.90
,"Operators, Others",
Family,"7224 
 
Metal Polishers, Wheel Grinders and Tool",
,Sharpeners,
,"7224.0100 
Grinder, General",7224.10
,"7224.0102 
Fitter – Fabrication",
,"7224.0200 
Grinder, Crankshaft",7224.20
,"7224.0300 
Roll Grinder",7224.25
,NCO 2015,
,"7224.0400 
Surface Grinder",7224.30
,"7224.0401 
Grinder – Hand-Held and Power Tools",
,"7224.0402 
Operator – Conventional Surface Grinding",
,Machines,
,"7224.0500 
Thread Grinder",7224.35
,"7224.0600 
Honer/Honing Machine Operator",7224.40
,"7224.0700 
Lapper",7224.45
,"7224.0701 
Super Finishing Technician",
,"7224.0801 
Polisher",7224.55
,"7224.0900 
Saw Grinder, Hand",7224.65
,7224.1100  Metal Bluer,7224.80
,"7224.9900  Metal Wheel Grinder, Polishing and Tool",7224.90
,"Sharpeners, Other",
Group,"723 
Machinery Mechanics and Repairers",
Family,"7231 
Motor Vehicle Mechanics and Repairers",
,"7231.0100  Mechanic, Automobile",7231.10
,7231.0101  Maintenance Technician – Service,
,Workshop,
,"7231.0102 
AC Specialist",
,"7231.0103 
Automotive Body Technician Level 3",
,"7231.0104 
Automotive Body Technician Level 4",
,"7231.0105 
Brake Specialist",
,"7231.0106 
Clutch Specialist",
,NCO 2015,NCO 2004
,"7231.0107 
Auto Service Technician – Mechanic",
,"7231.0108 
Auto Service Technician – Helper",
,"7231.0200 
Engine Tester",7231.20
,"7231.0201 
Test Technician",
,"7231.0300 
Tractor Mechanic",7231.30
,"7231.0400 
Fitter Automobile",7231.40
,7231.0401  Mechanic Fitter,
,"7231.0500  Mechanic, Motor Cycle",7231.50
,"7231.0501 
Auto Service Technician (Two and Three",
,Wheelers),
,"7231.0900 
Cleaner Motor Vehicle",7231.60
,"7231.9900  Motor Vehicle Mechanics, Other",7231.90
Family,"7232 
Aircraft Engine Mechanics and Repairers",
,"7232.0100 
Airframe Erector",7232.10
,"7232.0200  Mechanic Aircraft, Propeller",7232.20
,"7232.0300 
Engine Tester, Aircraft",7232.30
,"7232.0400 
Engine Tester, Helper, Aircraft",7232.40
,"7232.0500  Mechanic Aircraft Engine, Field",7232.50; 7232.70
,Service/Filed Mechanic Aircraft,
,"7232.0600  Mechanic Aircraft, Engine Overhauling",7232.60
,"7232.9900 
Aircraft Mechanics, Other",7232.90
Family,"7233 
Agricultural and Industrial Machinery",
,Mechanics and Repairers,
NCO 2015,,
"7233.0100 
Fitter, General",7233.10,
7233.0101  Maintenance Fitter – Mechanical,,
7233.0102  Machinist,,
"7233.0121 
Fitter Levelling, Alignment & Balancing",,
"7233.0200 
Fitter, Bench",7233.20,
"7233.0300  Mechanic, Petrol Engine",7233.22,
"7233.0301 
Bearing Maintenance",,
"7233.0400  Mechanic, Diesel Engine",7233.24,
"7233.0401 
Belt Conveyor Maintenance",,
"7233.0402 
Conveyor Operation and Maintenance",,
"7233.0600  Mechanic, Gas/Diesel Engine",7233.26,
"7233.0700  Mechanic, Earth Moving Machinery",7233.28,
7233.0701  Mobile Equipment Maintenance,,
"7233.0800  Mechanic, Road Roller",7233.30,
"7233.0900  Mechanic, Turbine",7233.32,
"7233.1000  Mechanic, Stationery Steam Engine",7233.34,
"7233.1100  Mechanic, Maintenance, Chemical",7233.36,
"Plant/Technician, Maintenance, Chemical",,
,,NCO 2015
,"7233.1500  Mechanic, Mining Machinery",
,"7233.1600  Mechanic, Textile Machinery",
,"7233.1700  Mechanic, Printing Machinery",
,"7233.1800  Mechanic, Sewing Machine",
,7233.1900,"Lamp Repairman, Mines"
,"7233.2000  Mechanic, Repairman (Domestic",
,,Appliances)
,7233.2100,"Fitter, Stationery Steam Engine"
,7233.2200,"Fitter, Marine"
,7233.2300,"Fitter, Railway Carriage and Wagon"
,7233.2400,"Fitter, Loco"
,7233.2500,Loco Cleaner
,7233.2600,"Fitter, Bicycle"
,7233.2700,"Fitter, Signal"
,7233.2800,Agriculture Engineering Technician
,7233.2901,Fitter: Hydraulic and Pneumatic System
,,"7233.9900  Machinery Mechanics and Fitters, Other"
Family,7234,Bicycle and Related Repairers
Sub-,73,Handicraft and Printing Workers
Division,,
Group,731,Handicraft Workers
Family,7311,Precision Instrument Makers and Repairers
,,"7311.0100  Mechanic Precision Instrument, General"
,,NCO 2015
,7311.0101,Technician Instrumentation
,7311.0200  Watch Repairer,
,7311.0300,Assembler (Clock & Watch)
,,"7311.0400  Mechanic Precision Instrument, Mechanical"
,7311.0401,Fitter Instrumentation
,7311.0500,"Viewer, Workshop"
,,"7311.0600  Mechanic, Atomizer and Fuel Pump (Diesel)"
,"7311.0800  Mechanic, Optical Instrument",
,7311.0900,"Calibrator, Glass"
,7311.1000,Calibrator (Instrument & Apparatus)
,7311.1001,Calibration Technician
,7311.1002,Calibration Engineer
,7311.1100,"Calibrator, Other"
,7311.1200,Orthopaedic Appliances and Limb
,,Technician
,7311.1400,"Instrument Maker, Other"
,7311.9900,"Precision Instrument Makers and Repairers,"
,,Other
Family,7312,Musical Instrument Makers and Tuners
,7312.0100  Musical Instrument Maker (String ),
,7312.0200,Harmonium Maker
,7312.0300,Harmonium Key Maker
,7312.0400,Harmonium Fitter
,,NCO 2015
,7312.0500,Bellow Man (Harmonium)
,7312.0600,Reed Fitter (Harmonium)
,7312.0800,Finisher (Harmonium)
,7312.1000,Organ Tuner
,7312.1200,Piano Tuner
,7312.1300,Tabla Maker (Musical Instrument)
,7312.1400,"Drum Maker, Musical"
,7312.1500,Clarinet Assembler
,7312.1600,Bagpipe Maker
,7312.1700,Brass Musical Instruments Assembler
,7312.1800  Musical Instrument Repairer,
,,"7312.9900  Musical Instrument Makers and Tuners,"
,,Other
Family,7313,Jewellery and Precision Metal Workers
,7313.0100,"Roller, Gold and Silver"
,7313.0101,Jewellery Polisher
,7313.0102,Plater
,7313.0103,Filer and Assembler
,,"7313.0201  Wire Maker, Gold and Silver/Component"
,,Maker
,7313.0202,Gemstone Thread Maker
,7313.0301,"Gold Curer, General/Gold Refiner"
,7313.0401,"Gold Curer, Mint/Gold Melter and Refiner"
,NCO 2015,
7313.0500,Gold Foil Maker,7313.22
7313.0600,"Leaf Maker, Gold and Silver",7313.25
7313.0700,Goldsmith,7313.28
7313.0701,Polisher and Cleaner,
7313.0702,Goldsmith Enameller,
7313.0703,Goldsmith Frame Maker,
7313.0801,Jewel Setter/Setter,7313.30
7313.0802  Metal Setter,,
7313.0803  Wax Setter,,
,7313.0804  Wax Tree Maker,
7313.0901,Gem Sorter,7313.35
7313.0902,Rough Assorter,
7313.0903,Rough Marker,
7313.1001,Gem Slicer/Gemstone Rough Cutter,7313.45
7313.1101,Gem Cleaver,7313.50
7313.1201,Inclusion Plotter,
7313.1202,Planner,
7313.1300,"Gem Grinder, Hand",7313.55
7313.1301  Manual Bruter,,
7313.1302,Auto Blocker,
7313.1303,Gemstone Facet Maker,
7313.1304,Table Cutter,
,NCO 2015,
7313.1305  Manual Blocker,,
7313.1306,Auto Bruter,
7313.1400,"Gem Polisher, Hand",7313.60
7313.1501,Diamond Assorter,
7313.1502,Polished Diamond Grader & Assorter (Basic),
7313.1503,Polished Diamond Grader & Assorter,
,(Advance),
7313.1504,Bottom Polisher,
7313.1505,Gemstone Girdle Polisher,
7313.1506,Gemstone Polisher,
7313.1601,Gemstone Pre-Shaper,
7313.1602,Gemstone Final Shaper and Calibrator,
7313.1701,Gem Driller,7313.68
7313.1702  Window Opener,,
7313.1800,Jewellery Engraver,7313.70
7313.1900,Engraver,7313.71
7313.2200,"Embosser, Sheet",7313.75
7313.2300,"Inlayer, Metal",7313.78
7313.2401,Rubber Mould Maker,
7313.2402  Wax Piece Maker,,
7313.2501,Boiling In-Charge,
7313.2601,Final Quality Inspector,
,,NCO 2015
,7313.9900,"Jewellery, Goldsmith and Silversmith"
,,"Workers, Other"
Family,7314,Potters and Related Workers
,,"7314.0100  Mould Maker, Pottery and Porcelain"
,7314.0200,"Caster, Pottery and Porcelain"
,7314.0300,Clay Toy Maker/Hand Moulder
,"7314.0400  Moulder, Hand (Ceramics)",
,,7314.0500  Maker (Pottery and Porcelain)/Jigger and
,,Jolly Operator
,7314.0600,Turner Pottery and Porcelain
,7314.0700,"Bricks and Tile Moulder, Hand"
,7314.0800,Abrasive Wheel Moulder
,7314.0900,Potter (Pottery and Porcelain)/Potter's
,,Wheel Operator
,7314.1000,Granulator Attendant (Cement)
,7314.1100,Clay Maker (Pottery)
,7314.1200,Checker (Ceramics)
,7314.1300,"Sorter, Brick and Tile"
,7314.9900,"Abrasive Wheel Formers, Potters and"
,,"Related Workers, Other"
Family,7315,"Glass Makers, Cutters, Grinders and"
,,Finishers
,7315.0100,"Blower, Glass"
,7315.0200,"Blower, Laboratory Apparatus"
,NCO 2015,NCO 2004
7315.0300,Blower Helper (Glass),7322.14; 7322.16;
,,7322.18
7315.0600  Mouldman (Glass),,7322.20
7315.0700,Bender (Glass),7322.22
7315.0800,Gatherer (Glass),7322.24
